  composer = \markup ,Lời Chúa Là Đèn Soi Con,158
  composer = \markup ,Luật Ngài Khai Sáng,159
Tv. 119,Con Kêu Tới Chúa,160
Tv. 120,Ơn Phù Trợ Từ Thiên Chúa,161
Tv. 121,Nào Ta Lên Đền Thờ,162
Tv. 122,Con Hướng Nhìn Về Chúa,163
Tv. 123,Nếu Chúa Chẳng Đỡ Bênh,164
Tv. 124,Như Núi Si-on,165
Tv. 125,Rộn Rã Khúc Nhạc Mừng,166
Tv. 126,Nếu Chúa Không Xây Nhà,167
Tv. 127,Vinh Phúc Ai Tôn Sợ Chúa,168
Tv. 128,Từ Thuở Ấu Thơ,169
Tv. 129,Từ Vực Thẳm,170
Tv. 130,Như Em Thơ,171
Tv. 131,Xin Chúa Nhớ Đa-vít,172
Tv. 132,Vui Sống Bên Nhau,174
Tv. 133,Hướng Về Cung Thánh,175
Tv. 134,Hãy Ca Tụng Danh Chúa,176
Tv. 135,Chúa Vẫn Trọn Tình Thương,177
Tv. 137,Con Hết Lòng Cảm Tạ,179
Tv. 136,Bên Sông Babylon,180
Tv. 138,Chúa Dò Xét Con,181
Tv. 139,Xin Chúa Lắng Tai Nghe,183
Tv. 142,Vì Danh Dự Ngài,184
Tv. 140,Tựa Trầm Hương,186
Tv. 143,Đời Tựa Bóng Câu,187
Tv. 141,Con Lớn Tiếng Kêu Gào,189
Tv. 144,Vì Chúa Cao Trọng,190
Tv. 145,Xin Mãi Tán Dương,192
Tv. 147,Giêrusalem Tôn Vinh Chúa,193
Tv. 146,Hãy Chúc Tụng Chúa Đi,194
Tv. 148,Hãy Ca Tụng Chúa Đi,195
Tv. 149,Hát Lên Bài Ca Mới,196
Tv. 150,Ca Tụn Chúa Đi,197
Xh. 15,1-18,Đấng Tôi Ca Ngợi,198
Đnl. 32,1-12,Trời Đất Hãy Lắng Nghe,199
1Sk. 29,10-13,Chúa Chúng Con Kính Thờ,201
Tob. 12,2-8,Chúa Muôn Đời Hằng Sống,202
1Sm. 2,1-10,Tâm Hồn Con Hoan Hỷ,204
Tb. 13,10-18,Hãy Nhiệt Liệt Tung Hô,205
Gđ. 16,1-2.13-15,Mừng Thiên Chúa Tôi Thờ,207
Kn. 9,1-5,9-11,Cho Con Đức Khôn Ngoan,208
Hc. 36,1-5.10-13,Thượng Đế Muôn Loài,210
Is. 2,2-5,Vào Thời Cánh Chung,211
Is. 12,1-6,Lời Ca Của Tôi,212
Is. 26,1-4.7-9.12,Thành Trì Ta Kiên Vững,213
Is. 38,10-14.17-20,Việc Chúa Làm,214
Is 35,10-14.17-20,Chúa Thương Cứu Độ,215
Is. 40,10-17,Chúa Quang Lâm Hùng Dũng,216
Is. 45,15-16,Hỡi Muôn Dân Địa Cầu,217
Is. 42,10-15,Hát Lên Mừng Chúa,219
Is. 60,10-62,5,Tôi Hân Hoan Vui Sướng,220
Is. 65,10-14,Hãy Vui Lên,222
Gr. 14,17-21,Vì Thánh Danh Ngài,223
Gr. 31,10-14,Như Vườn Cây,224
Ed. 36,24-28,Thần Khí Mới,225
Đn. 3,26-27.29.34-41,Xin Nhận Tâm Hồn Thống Hối,226
Đn. 3,52-57,Xin Dâng Lời Suy Tôn,228
Đn. 3,57-88,Chúc Tụng Chúa Đi,229
Hc. 3,2-4.13a.15-19,Nghe Về Chúa,231
Lc. 1,46-55,Linh Hồn Tôi Ca Ngợi,233
Lc. 1,68-79,Chúc Tụng Thiên Chúa,234
Lc. 2,29-32,Theo Lời Chúa Hứa,235
Ep. 1,3-10,Trong Đức Kitô,236
Pl. 2,6-11,Đức Giêsu Kitô Là Chúa,237
,,238
1Pr. 2,21-24,Vì Người Mang Thương Tích,239
Cl. 1,12-20,Cảm Tạ Chúa Cha,240
Kh. 11,17-18;12,10-12,Chúa Lên Ngôi Thống Trị,241
Kh. 4,11;5,9.10.12,Lạy Thiên Chúa,241
Kh. 15,3-4,Sự Nghiệp Chúa Lớn Lao,241
Kh. 19,1-2.6-7,Hiến Lễ Chiên Con,242
